Comment,Designator,Footprint,LCSC
Q_PMOS_GSD,"Q10,Q100,Q102,Q104,Q106,Q108,Q109,Q111,Q113,Q115,Q117,Q119,Q12,Q122,Q124,Q126,Q128,Q13,Q130,Q132,Q133,Q135,Q137,Q139,Q141,Q143,Q146,Q148,Q15,Q150,Q152,Q154,Q156,Q157,Q159,Q161,Q163,Q165,Q167,Q17,Q170,Q172,Q174,Q176,Q178,Q180,Q181,Q183,Q185,Q187,Q189,Q19,Q191,Q194,Q196,Q198,Q2,Q200,Q202,Q204,Q205,Q207,Q209,Q21,Q211,Q213,Q215,Q23,Q26,Q28,Q30,Q32,Q34,Q36,Q37,Q39,Q4,Q41,Q43,Q45,Q47,Q50,Q52,Q54,Q56,Q58,Q6,Q60,Q61,Q63,Q65,Q67,Q69,Q71,Q74,Q76,Q78,Q8,Q80,Q82,Q84,Q85,Q87,Q89,Q91,Q93,Q95,Q98",SOT-23,C2926187
Q_NMOS_GSD,"Q1,Q101,Q103,Q105,Q107,Q11,Q110,Q112,Q114,Q116,Q118,Q120,Q121,Q123,Q125,Q127,Q129,Q131,Q134,Q136,Q138,Q14,Q140,Q142,Q144,Q145,Q147,Q149,Q151,Q153,Q155,Q158,Q16,Q160,Q162,Q164,Q166,Q168,Q169,Q171,Q173,Q175,Q177,Q179,Q18,Q182,Q184,Q186,Q188,Q190,Q192,Q193,Q195,Q197,Q199,Q20,Q201,Q203,Q206,Q208,Q210,Q212,Q214,Q216,Q22,Q24,Q25,Q27,Q29,Q3,Q31,Q33,Q35,Q38,Q40,Q42,Q44,Q46,Q48,Q49,Q5,Q51,Q53,Q55,Q57,Q59,Q62,Q64,Q66,Q68,Q7,Q70,Q72,Q73,Q75,Q77,Q79,Q81,Q83,Q86,Q88,Q9,Q90,Q92,Q94,Q96,Q97,Q99",SOT-23,C916396
Conn_01x03,J55,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J49,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J52,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J51,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J50,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J53,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J54,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J25,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J28,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J37,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J40,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J31,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J34,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J33,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J39,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J38,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J42,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J41,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J32,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J35,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J36,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J43,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J46,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J45,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J44,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J47,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J48,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J27,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J26,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J30,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J29,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J13,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J16,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J19,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J22,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J21,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J20,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J23,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J24,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J15,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J14,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J18,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J17,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J7,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J10,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J9,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J8,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J12,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J11,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J6,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J5,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J3,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J4,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J2,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,J1,PinHeader_1x03_P2.54mm_Vertical,
